Step	Training Loss
678	0.332400
679	0.527600
680	0.080900
681	0.644300
682	0.438700
683	0.374300
684	0.337000
685	0.202300
686	0.807800
687	0.399500
688	0.476200
689	0.306800
690	0.796900
691	0.371100
692	0.232200
693	0.577400
694	0.046000
695	0.605700
696	0.427800
697	0.884500
698	0.346900
699	0.255300
700	0.385000
701	0.232500
702	0.526000
703	0.395300
704	0.551700
705	0.352700
706	0.443000
707	0.285500
708	0.306700
709	0.429400
710	0.409000
711	0.652800
712	0.460000
713	0.459600
714	0.424500
715	0.552500
716	0.341600
717	0.497500
718	0.611100
719	0.584200
720	0.442700
721	0.201500
722	0.108500
723	0.314500
724	0.307200
725	0.481400
726	0.421000
727	0.405100
728	0.293000
729	0.549600
730	0.398800
731	0.637800
732	0.660400
733	0.548800
734	0.286800
735	0.329700
736	0.468000
737	0.448000
738	0.711900
739	0.530500
740	0.463600
741	0.236300
742	0.156500
743	0.604900
744	0.429000
745	0.188400
746	0.640500
747	0.423900
748	0.202600
749	0.480900
750	0.324100
751	0.540800
752	0.369100
753	0.350600
754	0.255800
755	0.571900
756	0.302600
757	0.366600
758	0.554200
759	0.591500
760	0.540800
761	0.748000
762	1.035500
763	0.429000
764	0.279300
765	0.512300
766	0.257000
767	0.390200
768	0.326700
769	0.553200
770	0.168000
771	0.608500
772	0.621400
773	0.392400
774	0.350700
775	0.557700
776	0.280700
777	0.120800
778	0.518100
779	0.797000
780	0.309100
781	0.426800
782	0.227500
783	0.358700
784	0.480100
785	0.671400
786	0.320500
787	0.560500
788	0.420000
789	0.344800
790	0.496700
791	0.637400
792	0.218900
793	0.432000
794	0.449100
795	0.130800
796	0.302400
797	0.903800
798	0.610000
799	0.263800
800	0.586700
801	0.550700
802	0.490100
803	0.523900
804	0.330300
805	0.502100
806	0.279600
807	0.398500
808	0.515900
809	0.349600
810	0.311900
811	0.278800
812	0.478800
813	0.507400
814	0.331500
815	0.235000
816	0.660100
817	0.342200
818	1.058500
819	0.485300
820	0.359200
821	1.131900
822	0.569800
823	0.546000
824	0.316200
825	0.523200
826	0.556500
827	0.417900
828	0.224400
829	0.145200
830	0.337800
831	0.334600
832	0.527000
833	0.377500
834	0.344200
835	0.295100
836	0.367100
837	0.541000
838	0.815500
839	0.234000
840	0.679700
841	0.187800
842	0.262000
843	0.113300
844	0.234700
845	0.340600
846	0.363300
847	0.271200
848	0.225000
849	0.259700
850	0.435200
851	0.403100
852	0.312800
853	0.468900
854	0.315000
855	0.501800
856	0.395500
857	0.453500
858	0.223100
859	0.168400
860	0.347400
861	0.579300
862	0.766000
863	0.268200
864	0.328300
865	0.386400
866	0.367900
867	1.160300
868	0.347700
869	0.195600
870	0.124500
871	0.652000
872	0.434600
873	0.274400
874	0.378700
875	0.190700
876	0.574000
877	0.246400
878	0.639700
879	0.547700
880	0.301300
881	0.208500
882	0.112300
883	0.313700
884	0.659200
885	0.394400
886	0.258500
887	0.311700
888	0.161000
889	0.621300
890	0.215600
891	0.745300
892	0.232100
893	0.433400
894	0.545400
895	0.370300
896	0.495800
897	0.382300
898	0.154000
899	0.293900
900	0.346700
901	0.495500
902	0.476100
903	0.375500
904	0.224100
905	0.397800
906	0.370100
907	0.475600
908	0.563900
909	0.530000
910	0.245300
911	0.387200
912	0.329900
913	0.362300
914	0.283000
915	0.328200
916	0.662100
917	0.348000
918	0.720400
919	0.157000
920	0.503300
921	0.458700
922	0.837300
923	0.213200
924	0.380100
925	0.436600
926	0.414200
927	0.109200
928	0.246100
929	0.539000
930	0.154600
931	0.229300
932	0.458000
933	0.203600
934	0.437100
935	0.458100
936	0.428300
937	0.258500
938	0.507000
939	0.125400
940	0.292700
941	0.333900
942	0.664300
943	0.303800
944	0.140300
945	0.313400
946	0.286200
947	0.230100
948	0.254600
949	0.426700
950	0.602800
951	1.161100
952	0.488400
953	0.468800
954	0.621400
955	0.285300
956	0.288300
957	0.595100
958	0.285000
959	0.228400
960	0.174700
961	0.537400
962	0.311500
963	0.372800
964	0.453800
965	0.295400
966	0.831700
967	0.342700
968	0.198900
969	0.240500
970	0.155800
971	0.098700
972	0.162800
973	0.419200
974	0.514500
975	0.150200
976	0.218900
977	0.091500
978	0.451200
979	0.113600
980	0.221500
981	0.625500
982	0.603300
983	0.442600
984	0.149900
985	0.251700
986	0.659100
987	0.179900
988	0.366600
989	0.411600
990	0.453800
991	0.345100
992	0.568300
993	0.231900
994	0.216900
995	0.348800
996	0.555900
997	0.408300
998	0.583000
999	0.102000
1000	1.395700
1001	0.472400
1002	0.333900
1003	0.104600
1004	0.472800
1005	0.140100
1006	0.194000
1007	0.554700
1008	0.244100
1009	0.274900
1010	0.213400
1011	0.118100
1012	0.457100
1013	0.101500
1014	0.156400
1015	0.607100
1016	0.145600
1017	0.416500
1018	0.192700
1019	0.280800
1020	0.066600
1021	0.159800
1022	0.409300
1023	0.180800
1024	0.356900
1025	0.092000
1026	0.297000
1027	0.099000
1028	0.037200
1029	0.199800
1030	0.403900
1031	0.291900
1032	0.087500
1033	0.159300
1034	0.321900
1035	0.188900
1036	0.239500
1037	0.192300
1038	0.113400
1039	0.199300
1040	0.212000
1041	0.394500
1042	0.194500
1043	0.180500
1044	0.161100
1045	0.172200
1046	0.551500
1047	0.212700
1048	0.256100
1049	0.104600
1050	0.495200
1051	0.224500
1052	0.175900
1053	0.452600
1054	0.725900
1055	0.381800
1056	0.181200
1057	0.200800
1058	0.132700
1059	0.419900
1060	0.336900
1061	0.454000
1062	0.394000
1063	0.200800
1064	0.658800
1065	0.463400
1066	0.303300
1067	0.316200
1068	0.496100
1069	0.525500
1070	0.194900
1071	0.332400
1072	0.206200
1073	0.442900
1074	0.165500
1075	0.160400
1076	0.859200
1077	0.986000
1078	0.578600
1079	0.340300
1080	0.207100
1081	0.472400
1082	0.294800
1083	0.622900
1084	0.400800
1085	0.180000
1086	0.280000
1087	0.012000
1088	0.285000
1089	0.280100
1090	0.384500
1091	0.248600
1092	0.203900
1093	0.417000
1094	0.370800
1095	0.360800
1096	0.070300
1097	0.268400
1098	0.293400
1099	0.507900
1100	0.165300
1101	0.304100
1102	0.196100
1103	0.180500
1104	0.144900
1105	0.105000
1106	0.239800
1107	0.231100
1108	0.207700
1109	0.259800
1110	0.234300
1111	0.146000
1112	0.410700
1113	0.697300
1114	0.390200
1115	0.305200
1116	0.284400
1117	0.370800
1118	0.436300
1119	0.144100
1120	0.518100
1121	0.487600
1122	0.193300
1123	0.420200
1124	0.087600
1125	0.119000
1126	0.642800
1127	0.171000
1128	0.371800
1129	0.515500
1130	0.052500
1131	0.164600
1132	0.239600
1133	0.180300
1134	0.173700
1135	0.170200
1136	0.544000
1137	0.332700
1138	0.473900
1139	0.141100
1140	0.268800
1141	0.512700
1142	0.028300
1143	0.312600
1144	0.227300
1145	0.296500
1146	0.136200
1147	0.886400
1148	0.338600
1149	0.580600
1150	0.134400
1151	0.034800
1152	0.097100
1153	0.205200
1154	0.161000
1155	0.240900
1156	0.212500
1157	0.156000
1158	0.168500
1159	0.431300
1160	0.452100
1161	0.259600
1162	0.164700
1163	0.211300
1164	0.523000
1165	0.183900
1166	0.152200
1167	0.211900
1168	0.286100
1169	0.336200
1170	0.089900
1171	0.299200
1172	0.536400
1173	0.900700
1174	0.105500
1175	0.139300
1176	0.187800
1177	1.110300
1178	0.313600
1179	0.496300
1180	0.604400
1181	0.591400
1182	0.493500
1183	0.144500
1184	0.905500
1185	0.158900
1186	0.212500
1187	0.079700
1188	0.155300
1189	0.395500
1190	0.526600
1191	0.236600
1192	0.313500
1193	0.418700
1194	0.110000
1195	0.254900
1196	0.244400
1197	0.397400
1198	0.093600
1199	0.380600
1200	0.266600
1201	0.201300
1202	0.200000
1203	0.126600
1204	0.387600
1205	0.128100
1206	0.292500
1207	0.089500
1208	0.106700
1209	0.249900
1210	0.187100
1211	0.337500
1212	0.230600
1213	0.337600
1214	0.133700
1215	0.105300
1216	0.351900
1217	0.350700
1218	0.207300
1219	0.316000
1220	0.364400
1221	0.273600
1222	0.490500
1223	0.239200
1224	0.201700
1225	0.234400
1226	0.668300
1227	0.190400
1228	0.175300
1229	0.219300
